Node Name,Relevant TO,Sheets,Voltage (Derived),Site Name,latitude,longitude,Full Name
FYRI1J,SHET,"B-2-1a, B-3-1a",132,FYRISH,57.700105,-4.300092,FYRISH 132kV
FYRI1K,SHET,"B-2-1a, B-3-1a",132,FYRISH,57.700105,-4.300092,FYRISH 132kV
FYRI2J,SHET,"B-2-1a, B-2-2a, B-3-1a",275,FYRISH,57.700105,-4.300092,FYRISH 275kV
FYRI2K,SHET,"B-2-1a, B-2-2a, B-3-1a",275,FYRISH,57.700105,-4.300092,FYRISH 275kV
FYRI2L,SHET,B-2-2a,275,FYRISH,57.700105,-4.300092,FYRISH 275kV
FYRI2M,SHET,B-2-2a,275,FYRISH,57.700105,-4.300092,FYRISH 275kV
GALA0J,SPT,B-3-2b,Unknown,GALA (Node Name used),55.610934,-2.77189,GALA (Node Name used) UnknownkV
GALA0K,SPT,B-3-2b,Unknown,GALA (Node Name used),55.610934,-2.77189,GALA (Node Name used) UnknownkV
GALA1-,SPT,"B-2-1b, B-2-2b, B-3-1b, B-3-2b",132,GALASHIELS,55.610934,-2.77189,GALASHIELS 132kV
GALA1-,SPT,"B-2-1b, B-2-2b, B-3-1b, B-3-2b",132,GALASHIELS,55.610934,-2.77189,GALASHIELS 132kV
GALA3-,SPT,B-3-1b,33,GALASHIELS,55.610934,-2.77189,GALASHIELS 33kV
GALN1Q,SPT,"B-2-2b, B-3-2b",132,GALA NORTH,,,GALA NORTH 132kV
GALN1R,SPT,"B-2-2b, B-3-2b",132,GALA NORTH,,,GALA NORTH 132kV
GALN4-,SPT,"B-2-2b, B-3-2b",400,GALA NORTH,,,GALA NORTH 400kV
GARB1Q,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a",132,GARELOCH BOUNDARY,,,GARELOCH BOUNDARY 132kV
GARB1Q,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a",132,GARELOCH BOUNDARY,,,GARELOCH BOUNDARY 132kV
GARB1R,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a",132,GARELOCH BOUNDARY,,,GARELOCH BOUNDARY 132kV
GARB1R,"SHET, SPT","B-2-1a, B-2-1b, B-2-2a",132,GARELOCH BOUNDARY,,,GARELOCH BOUNDARY 132kV
