Site Name,Site Code,latitude,longitude,Verified?
EWEH - EWE HILL Substation,EWEH,55.142486,-3.178808,Yes
EXET - Exeter Substation,EXET,50.7675723,-3.4051929,Yes
FAAR - FARR WINDFARM Substation,FAAR,57.336285,-4.160997,Yes
FALL - FALLAGO Substation,FALL,55.825461,-2.666797,Yes
FARI - FARIGAIG Substation,FARI,57.318325,-4.37464,Yes
FASN - FASNAKYLE Substation,FASN,57.330051,-4.79346,Yes
FAUG - FORT AUGUSTUS Substation,FAUG,57.136582,-4.719937,Yes
FAWL - Fawley Substation,FAWL,50.821745,-1.32857,Yes
FECK - Feckenham Substation,FECK,52.2499244,-1.9719288,Yes
Unknown - from ETYS,FENW,53.63945,-1.102475,Yes
FERRB - Ferrybridge B Substation,FERR,53.7172745,-1.284908,Yes
FETT - FETTERESSO Substation,FETT,56.965452,-2.349122,Yes
FFES - Ffestiniog Substation,FFES,52.9807405,-3.9690136,Yes
FIDD - FIDDES Substation,FIDD,56.924453,-2.302584,Yes
FIDF - Fiddlers Ferry Substation,FIDF,53.3712945,-2.6891076,Yes
FLEE - Fleet Substation,FLEE,51.2512879,-0.8833587,Yes
FLIB - Flintshire Bridge Converter Station,FLIB,53.238309,-3.04548,Yes
FOUR - Fourstones Substation,FOUR,55.0118266,-2.1641879,Yes
FOUX - Four Crosses Substation,FOUX,52.761055,-3.086444,Yes
FOYE - FOYERS Substation,FOYE,57.269073,-4.474314,Yes
FRAS - FRASERBURGH Substation,FRAS,57.685868,-2.024427,Yes
FRIN - Friston North Substation,FRIN,52.197598,1.529533,Yes
FRIS - Friston Substation,FRIS,52.197598,1.529533,Yes
FROD - Frodsham Substation,FROD,53.3087308,-2.7159515,Yes
FWIL - FORT WILLIAM Substation,FWIL,56.820386,-5.077876,Yes
FYRI - FYRISH Substation,FYRI,57.700105,-4.300092,Yes
GALA - GALASHIELS Substation,GALA,55.610934,-2.77189,Yes
GARF - Gran Fach Substation,GARF,51.775571,-4.127404,Yes
Unknown - from ETYS,GART,53.6437,-0.7254893,Yes
GAWH - GALAWHISTLE Substation,GAWH,55.562523,-3.946686,Yes
GLAG - GLENAGNES Substation,GLAG,56.46207,-2.996252,Yes
GLAP - GLEN APP Substation,GLAP,55.022516,-5.006034,Yes
GLEN - GLENMORISTON Substation,GLEN,57.201815,-4.720236,Yes
GLFA - GLENFARCLAS Substation,GLFA,57.415687,-3.315832,Yes
GLGL - GLENGLASS Substation,GLGL,55.337547,-4.017594,Yes
GLKO - GLEN KYLLACHY Substation,GLKO,57.315202,-4.087834,Yes
GLLE - GLENLEE Substation,GLLE,55.099586,-4.18552,Yes
GLLU - GLENLUCE Substation,GLLU,54.881992,-4.807106,Yes
GLNI - GLENNISTON Substation,GLNI,56.111388,-3.272049,Yes
GLRO - GLENROTHES Substation,GLRO,56.206833,-3.200275,Yes
GORG - GORGIE Substation,GORG,55.936106,-3.236463,Yes
